Unnamed: 0,Character,Japanese name,Japanese reading,School,Age,Birthday,Height,Hobbies,Designer,Illustrator,Lobby illustrator,Voiced by,Release date (JP),Image URL
,Airi,栗村(くりむら) アイリ,Kurimura Airi,Trinity,15,January 30,160cm,"Looking for tasty sweets, tea parties",まきあっと (Makiatto),まきあっと (Makiatto),,Mizumori Chiko,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/9/96/Airi.png/266px-Airi.png
,Akane,室笠(むろかさ) アカネ,Murokasa Akane,Millennium,16,April 1,164cm,Cleaning,Mx2J,Mx2J,,Hara Yumi,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/a/aa/Akane.png/266px-Akane.png
,Akari,鰐渕(わにぶち) アカリ,Wanibuchi Akari,Gehenna,17,December 9,167cm,Eating a lot,9ml,9ml,,Yūka Morishima,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/7/7d/Akari.png/266px-Akari.png
,Ako,天雨(あまう) アコ,Amau Ako,Gehenna,17,December 22,165cm,President Hina,DoReMi,DoReMi,,Kouno Marika,2021/11/17,https://static.wikitide.net/bluearchivewiki/thumb/7/72/Ako.png/266px-Ako.png
,Aoba,内海(うつみ) アオバ,Utsumi Aoba,Highlander,16,July 19,151cm,"Daydreaming, sarcastic remarks",nemoga,nemoga,nemoga,Tajima Saran,2025/04/22,https://static.wikitide.net/bluearchivewiki/thumb/4/42/Aoba.png/266px-Aoba.png
,Arisu,天童(てんどう) アリス,Tendou Aris,Millennium,??,March 25,152cm,Games (Especially RPGs),DoReMi,DoReMi,,Minami Tanaka,2021/03/25,https://static.wikitide.net/bluearchivewiki/thumb/0/0f/Arisu.png/266px-Arisu.png
,Aru,陸八魔(りくはちま) アル,Rikuhachima Aru,Gehenna,16,March 12,160cm,Studying management,DoReMi,DoReMi,,Kondō Reina,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/d/db/Aru.png/266px-Aru.png
,Asuna,一之瀬(いちのせ) アスナ,Ichinose Asuna,Millennium,17,March 24,167cm,Attacking,Mx2J,Mx2J,,Hasegawa Ikumi,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/9/9f/Asuna.png/266px-Asuna.png
,Atsuko,秤(はかり) アツコ,Hakari Atsuko,Arius,15,January 20,158cm,Tending to flowers,9ml,9ml,,Hanazawa Kana,2022/06/08,https://static.wikitide.net/bluearchivewiki/thumb/c/c7/Atsuko.png/266px-Atsuko.png
,Ayane,奥空(おくそら) アヤネ,Okusora Ayane,Abydos,15,November 12,153cm,"Keeping the accounts, collecting antiques",Hwansang,Hwansang,,Harada Sayaka,2021/02/04,https://static.wikitide.net/bluearchivewiki/thumb/a/a7/Ayane.png/266px-Ayane.png
,Azusa,白洲(しらす) アズサ,Shirasu Azusa,Trinity,16,December 26,149cm,,NAMYO,NAMYO,,Risa Taneda,2021/05/27,https://static.wikitide.net/bluearchivewiki/thumb/8/86/Azusa.png/266px-Azusa.png
,Cherino,連河(れんかわ) チェリノ,Renkawa Cherino,Red Winter,??,October 27,128cm,"Purges, snowball fights",Hwansang,Hwansang,,Yano Hinaki (prev. Tange Sakura),2021/04/29,https://static.wikitide.net/bluearchivewiki/thumb/7/7c/Cherino.png/266px-Cherino.png
